Data_x,Recurso_x,Máquina_x,Produzido_x,id_x,count_x,id2,Data_y,Recurso_y,Máquina_y,Produzido_y,id_y,count_y
28/02/2023,425953 ,Corte,24,28/02/2023425953Corte24,1.0,28/02/2023425953Corte241,28/02/2023,425953,Corte,24,28/02/2023425953Corte24,1.0
28/02/2023,460394 ,Corte,8,28/02/2023460394Corte8,1.0,28/02/2023460394Corte81,28/02/2023,460394,Corte,8,28/02/2023460394Corte8,1.0
28/02/2023,029663 ,Corte,8,28/02/2023029663Corte8,1.0,28/02/2023029663Corte81,28/02/2023,029663,Corte,8,28/02/2023029663Corte8,1.0
28/02/2023,029664 ,Corte,16,28/02/2023029664Corte16,1.0,28/02/2023029664Corte161,28/02/2023,029664,Corte,16,28/02/2023029664Corte16,1.0
28/02/2023,030373 ,Corte,6,28/02/2023030373Corte6,1.0,28/02/2023030373Corte61,28/02/2023,030373,Corte,6,28/02/2023030373Corte6,1.0
28/02/2023,030544 ,Corte,2,28/02/2023030544Corte2,1.0,28/02/2023030544Corte21,28/02/2023,030544,Corte,2,28/02/2023030544Corte2,1.0
28/02/2023,031206 ,Corte,2,28/02/2023031206Corte2,1.0,28/02/2023031206Corte21,28/02/2023,031206,Corte,2,28/02/2023031206Corte2,1.0
28/02/2023,031486 ,Corte,6,28/02/2023031486Corte6,1.0,28/02/2023031486Corte61,28/02/2023,031486,Corte,6,28/02/2023031486Corte6,1.0
28/02/2023,409959 ,Corte,8,28/02/2023409959Corte8,1.0,28/02/2023409959Corte81,28/02/2023,409959,Corte,8,28/02/2023409959Corte8,1.0
28/02/2023,425187 ,Corte,2,28/02/2023425187Corte2,1.0,28/02/2023425187Corte21,28/02/2023,425187,Corte,2,28/02/2023425187Corte2,1.0
28/02/2023,425760 ,Corte,130,28/02/2023425760Corte130,1.0,28/02/2023425760Corte1301,28/02/2023,425760,Corte,130,28/02/2023425760Corte130,1.0
28/02/2023,460709 ,Corte,2,28/02/2023460709Corte2,1.0,28/02/2023460709Corte21,28/02/2023,460709,Corte,2,28/02/2023460709Corte2,1.0
28/02/2023,033879 ,Corte,2,28/02/2023033879Corte2,1.0,28/02/2023033879Corte21,28/02/2023,033879,Corte,2,28/02/2023033879Corte2,1.0
28/02/2023,478970 ,Corte,10,28/02/2023478970Corte10,1.0,28/02/2023478970Corte101,28/02/2023,478970,Corte,10,28/02/2023478970Corte10,1.0
28/02/2023,031511 ,Montagem,8,28/02/2023031511Montagem8,1.0,28/02/2023031511Montagem81,28/02/2023,031511,Montagem,8,28/02/2023031511Montagem8,1.0
28/02/2023,031511 ,Montagem,8,28/02/2023031511Montagem8,2.0,28/02/2023031511Montagem82,28/02/2023,031511,Montagem,8,28/02/2023031511Montagem8,2.0
28/02/2023,031548 ,Montagem,4,28/02/2023031548Montagem4,1.0,28/02/2023031548Montagem41,28/02/2023,031548,Montagem,4,28/02/2023031548Montagem4,1.0
28/02/2023,031016 ,Montagem,1,28/02/2023031016Montagem1,1.0,28/02/2023031016Montagem11,28/02/2023,031016,Montagem,1,28/02/2023031016Montagem1,1.0
28/02/2023,031034 ,Montagem,2,28/02/2023031034Montagem2,1.0,28/02/2023031034Montagem21,28/02/2023,031034,Montagem,2,28/02/2023031034Montagem2,1.0
28/02/2023,023590 ,Montagem,14,28/02/2023023590Montagem14,1.0,28/02/2023023590Montagem141,28/02/2023,023590,Montagem,14,28/02/2023023590Montagem14,1.0
28/02/2023,030347 ,Montagem,3,28/02/2023030347Montagem3,1.0,28/02/2023030347Montagem31,28/02/2023,030347,Montagem,3,28/02/2023030347Montagem3,1.0
28/02/2023,025545 ,Estamparia,60,28/02/2023025545Estamparia60,1.0,28/02/2023025545Estamparia601,28/02/2023,025545,Estamparia,60,28/02/2023025545Estamparia60,1.0
28/02/2023,033745 ,Serra,1,28/02/2023033745Serra1,1.0,28/02/2023033745Serra11,28/02/2023,033745,Serra,1,28/02/2023033745Serra1,1.0
28/02/2023,025073 ,Serra,62,28/02/2023025073Serra62,1.0,28/02/2023025073Serra621,28/02/2023,025073,Serra,62,28/02/2023025073Serra62,1.0
28/02/2023,031031 ,Serra,12,28/02/2023031031Serra12,1.0,28/02/2023031031Serra121,28/02/2023,031031,Serra,12,28/02/2023031031Serra12,1.0
28/02/2023,479068 ,Estamparia,3,28/02/2023479068Estamparia3,1.0,28/02/2023479068Estamparia31,28/02/2023,479068,Estamparia,3,28/02/2023479068Estamparia3,1.0
28/02/2023,030553 ,Estamparia,12,28/02/2023030553Estamparia12,1.0,28/02/2023030553Estamparia121,28/02/2023,030553,Estamparia,12,28/02/2023030553Estamparia12,1.0
28/02/2023,460394 ,Estamparia,8,28/02/2023460394Estamparia8,1.0,28/02/2023460394Estamparia81,28/02/2023,460394,Estamparia,8,28/02/2023460394Estamparia8,1.0
28/02/2023,493107 ,Estamparia,24,28/02/2023493107Estamparia24,1.0,28/02/2023493107Estamparia241,28/02/2023,493107,Estamparia,24,28/02/2023493107Estamparia24,1.0
28/02/2023,029663 ,Estamparia,8,28/02/2023029663Estamparia8,1.0,28/02/2023029663Estamparia81,28/02/2023,029663,Estamparia,8,28/02/2023029663Estamparia8,1.0
28/02/2023,029664 ,Estamparia,16,28/02/2023029664Estamparia16,1.0,28/02/2023029664Estamparia161,28/02/2023,029664,Estamparia,16,28/02/2023029664Estamparia16,1.0
28/02/2023,029665 ,Estamparia,8,28/02/2023029665Estamparia8,1.0,28/02/2023029665Estamparia81,28/02/2023,029665,Estamparia,8,28/02/2023029665Estamparia8,1.0
28/02/2023,031223 ,Estamparia,12,28/02/2023031223Estamparia12,1.0,28/02/2023031223Estamparia121,28/02/2023,031223,Estamparia,12,28/02/2023031223Estamparia12,1.0
28/02/2023,031224 ,Estamparia,12,28/02/2023031224Estamparia12,1.0,28/02/2023031224Estamparia121,28/02/2023,031224,Estamparia,12,28/02/2023031224Estamparia12,1.0
28/02/2023,031229 ,Estamparia,8,28/02/2023031229Estamparia8,1.0,28/02/2023031229Estamparia81,28/02/2023,031229,Estamparia,8,28/02/2023031229Estamparia8,1.0
28/02/2023,030671 ,Montagem,10,28/02/2023030671Montagem10,1.0,28/02/2023030671Montagem101,28/02/2023,030671,Montagem,10,28/02/2023030671Montagem10,1.0
28/02/2023,030753 ,Montagem,10,28/02/2023030753Montagem10,1.0,28/02/2023030753Montagem101,28/02/2023,030753,Montagem,10,28/02/2023030753Montagem10,1.0
28/02/2023,031566 ,Montagem,5,28/02/2023031566Montagem5,1.0,28/02/2023031566Montagem51,28/02/2023,031566,Montagem,5,28/02/2023031566Montagem5,1.0
28/02/2023,025840CO ,Pintura,1,28/02/2023025840COPintura1,1.0,28/02/2023025840COPintura11,28/02/2023,025840CO,Pintura,1,28/02/2023025840COPintura1,1.0
28/02/2023,030467CO ,Pintura,1,28/02/2023030467COPintura1,1.0,28/02/2023030467COPintura11,28/02/2023,030467CO,Pintura,1,28/02/2023030467COPintura1,1.0
28/02/2023,030468CO ,Pintura,1,28/02/2023030468COPintura1,1.0,28/02/2023030468COPintura11,28/02/2023,030468CO,Pintura,1,28/02/2023030468COPintura1,1.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,1.0,28/02/2023460382VMPintura41,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,1.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,2.0,28/02/2023460382VMPintura42,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,2.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,3.0,28/02/2023460382VMPintura43,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,3.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,4.0,28/02/2023460382VMPintura44,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,4.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,5.0,28/02/2023460382VMPintura45,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,5.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,6.0,28/02/2023460382VMPintura46,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,6.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,7.0,28/02/2023460382VMPintura47,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,7.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,8.0,28/02/2023460382VMPintura48,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,8.0
28/02/2023,460382VM ,Pintura,4,28/02/2023460382VMPintura4,9.0,28/02/2023460382VMPintura49,28/02/2023,460382VM,Pintura,4,28/02/2023460382VMPintura4,9.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,1.0,28/02/2023460400VMPintura41,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,1.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,2.0,28/02/2023460400VMPintura42,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,2.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,3.0,28/02/2023460400VMPintura43,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,3.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,4.0,28/02/2023460400VMPintura44,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,4.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,5.0,28/02/2023460400VMPintura45,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,5.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,6.0,28/02/2023460400VMPintura46,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,6.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,7.0,28/02/2023460400VMPintura47,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,7.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,8.0,28/02/2023460400VMPintura48,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,8.0
28/02/2023,460400VM ,Pintura,4,28/02/2023460400VMPintura4,9.0,28/02/2023460400VMPintura49,28/02/2023,460400VM,Pintura,4,28/02/2023460400VMPintura4,9.0
28/02/2023,466621VM ,Pintura,1,28/02/2023466621VMPintura1,1.0,28/02/2023466621VMPintura11,28/02/2023,466621VM,Pintura,1,28/02/2023466621VMPintura1,1.0
28/02/2023,479937CO ,Pintura,2,28/02/2023479937COPintura2,1.0,28/02/2023479937COPintura21,28/02/2023,479937CO,Pintura,2,28/02/2023479937COPintura2,1.0
28/02/2023,443785 ,Montagem,10,28/02/2023443785Montagem10,1.0,28/02/2023443785Montagem101,28/02/2023,443785,Montagem,10,28/02/2023443785Montagem10,1.0
